,id,text,sentiment
14022,5549,fodase cansei — :( https://t.co/sc1PtgQv22,0.0
12560,4087,@afamosa_Julia EU NÃO POSSO AAAAAAAA :(,0.0
17041,8568,@hrnepd Porque? :( kakakkaak se n fosse assim n seria eu e tu tbm me irrita!,0.0
12507,4034,@isabelraia sério? porque eu achei tenebroso :(,0.0
8165,8163,"se a pessoa n me entende pra q explicar neh?? se vai continuar a n me entender do jeito q sou :)
 KING BIEBER #JustinBBMAs",1.0
5837,5836,@Mitico_ROM23 O dia começa da melhor maneira assim. Agradece :),1.0
17858,9385,Q ÓDIO :(,0.0
12870,4397,"Tadinho do picoto kkkk lambeu uma abelha, e picou a língua dele :( agr ta inchada e não conaegue coloca pra dentro",0.0
22570,14102,acordei com meu estômago fodido :(,0.0
10279,1806,só queria ouvir a voz dela :(,0.0
8658,8656,"vai sozinha, fia!
melhor coisa do mundo é viajar sozinha :) https://t.co/qLORdZk2W5",1.0
2906,2905,"@Bakero83 Isso é uma relíquia, não é maluquice! :)",1.0
5868,5867,@VexesUHCs @xTheJoao @SmhSmore Vou me lembra disso :),1.0
18289,9816,05h22 am...perdi o sono :(,0.0
2445,2444,"Errar ontem, aprender hoje e superar amanhã !!! #Bm dia  ;) :) ♥",1.0
1771,1771,@Hatebeera não eu era trapezista mesmo :),1.0
15476,7003,O povo do saritas tão aqui na frente de casa bebendo desde ontem kkkkkkk queria tá junto :(,0.0
10576,2103,Tu não vai querer teu filho nessa dividindo com você o mínimo espaço de cela :(,0.0
19471,10999,@cabelloiconic pqp que linda :(,0.0
15543,7070,@sincetoday Sério? :(,0.0
5849,5848,"Se algo pode dar errado, vai dar errado :)",1.0
10110,1637,grupinho das alfinetes morreu :(,0.0
5249,5248,@awkweirkz e foi assim que me safei dum unfollow :),1.0
16355,7882,"CEM!!!!!!
Poisé, fim dos meus votos, mas vou continuar por RT  :( 
I vote for @BTS_twt in BBMAs for Top Social Artist Award #BTSBBMAs",0.0
2960,2959,.@jessrsilva abriste me o apetite e vim atacar uma bela massinha aqui :) #esplanando ahahah,1.0
9592,1119,"queria uma calça boyfriend, mas n acho no meu tamanho :(",0.0
5418,5417,Eu nem sabia que tinha tema as festas. Adorei isso e dá pra ver quem tá indo de acordo. Achei massa :),1.0
12118,3645,Ligo o rádio na Lumen e aparece a Evangelizar. Fico sem alternativas :(,0.0
2454,2453,"@FARmayward @MDaleBarber Ok po, no problem :)
#MAYWARDCoupleOfTheNight",1.0
17841,9368,"to morta de cansaço, mas n consigo dormir :(",0.0
24665,16198,@jeandupcbdj tá só judiando colocando prévia no instagram hein :( solta esse podcast!! culpa do Jean só toca o que elas pede,0.0
3028,3027,¡Feliz inicio de mes! :) https://t.co/MFBxyN69mF,1.0
11502,3029,@Yelloseok nao amor :(,0.0
23463,14995,@mundobbb Tbm naooooooo :(,0.0
19989,11518,eu to tao zzzz esses dias que nem musica nova do paramore ta me animando :(,0.0
23682,15214,@yoleeo_ tudo bem :(,0.0
19717,11246,Ser chiquita :( https://t.co/R24QUW4ZkN,0.0
1650,1650,No momento eu me encontro querendo pregar essa foto na minha testa :) https://t.co/JwIu3CGGfj,1.0
16136,7663,"@RLivre @ALuizCosta Pelo o que tenho visto, esse tempo voltou :-(",0.0
13464,4991,Menino instagrão faleceu :(,0.0
1259,1260,@moveslikesg @cosgroveados sábado vou dar a primeira dose da vacina e quem adotar ja ganha a castração tbm das duas ::),1.0
22851,14383,"vou começar a usar isso aqui com mais frequência, o foda é que o tim beta tá com tarifa cara e eu não posso viver no 3G :(",0.0
14670,6197,Chorei com isso :( https://t.co/zWqXX80hhl,0.0
20486,12017,queria um namoradinho :(,0.0
5503,5502,maio chegou e todos os fds tem festinha pra ir :),1.0
23949,15481,"Td certo pra comprar o ingresso, na hora de finalizar ... Esgotou :(",0.0
14793,6320,eu to com sono mas não consigo dormir :(,0.0
1817,1817,"@infximenes Imagina, disponha :)",1.0
21557,13088,"@lauradutrra Ai migaaa n deu por causa da greve, pararam as estrada tudo :(",0.0
5554,5553,@paoferma olivos hipsters :),1.0
590,591,chegarei :) atrasada :) como :) sempre :),1.0
12997,4524,"Cuando vou ter esse momento?!
:( acho q nunca...opa NEVER SAY NEVER!
I Believe.E Vcs?!
~Ju
BIEBER FEAT ONED… https://t.co/XdwzD7DgH7",0.0
22333,13865,Acordei com uma sensação esquisita :( argh,0.0
24756,16289,vai faze 1semana ja que a kamis nao entra af :(,0.0
5310,5309,"Gente, eu sou army a pouco tempo... Oq é army selca day? Quando acontece? To bem perdida :)",1.0
17506,9033,+ pra me dar concelhos ou ate mesmo me dar esporro por ter feito tal coisa :(,0.0
4806,4805,Já visitaram meu site? Tenho atualizado constantemente :),1.0
20140,11669,"@Alienjessic4 Vou nada, meu salário vai todo pra conta :(",0.0
7093,7092,@Go_Planetary nadaaaaa :),1.0
18916,10444,UMA DAS METAS PARA ESSE ANO ERA SER FRIA KKKKKK FAIL :(,0.0
5337,5336,Hoje só quero a pureza disso comigo... Verdades de olhares sinceros onde posso encontrar abrigo :),1.0
15562,7089,Tem que ter muita força de vontade pra sair de casa nesse frio! :(,0.0
8651,8649,Depois continuamos! Vocês querem? :) https://t.co/Tlp54wn3n6,1.0
25192,16725,"A frase ""eu não posso mudar"" é tão linda mas porque H cobriu com a âncora :(",0.0
3291,3290,hahahah chocolate melhora tudo :-) https://t.co/Stl5O8gRug,1.0
24795,16328,@227TN Bora :(,0.0
17337,8864,eu nem acredito que realmente aconteceu :(,0.0
23139,14671,"Queria tanto comprar o Black Desert Online, porém acho que n teria ninguém pra jogar junto :(",0.0
16893,8420,@vicleister Já roubaram coisa minha aqui em casa também :(,0.0
6826,6825,"Bom dia! :)
Conheça a reportagem fotográfica de José Gomes da 12.ª Regata Internacional Ponte da Amizade! https://t.co/x12EVs2CaG",1.0
22856,14388,que dor vey :(,0.0
3255,3254,"Hey Jude, by Babau :)
Bar do Clube da Esquina https://t.co/Uh6lNFz0C2",1.0
24889,16422,@welbfr Fiquei triste por vc tb :(,0.0
20297,11827,@nopressxurex eu também :( mas vamos conseguir sim #JustinBBMAs,0.0
12719,4246,"@whytaeny ela postou umas coisas muito sérias e eu e todo mundo estamos muito preocupados :( e ela não responde, nã… https://t.co/MVdYjNxCCX",0.0
910,911,"Muito Bom :)
A própria experiência com a falta de tempo para cozinhar, levou Alexandre a desenvolver um método de... https://t.co/NAg7jYzu84",1.0
1321,1322,foto com o bispo :),1.0
6953,6952,@outroskiller Me identifiquei!:),1.0
18181,9708,ouvindo Demi Lovato as 04:06 dá manhã e lembrando daquele bandido kkkmmk :(,0.0
18229,9756,"o bem triste, meus pais tem q me deixar comprar o ingresso :(
I am voting for BTS for TOP SOCIAL ARTIST at the #BBMAs. RT to vote! #BTSBBMAs",0.0
20458,11989,@leewiinter eu me inscrevi mas eles nao me querem :(,0.0
368,369,"Ah, não foi um #MomentoOstentação não. Eu não compro sapatos, compro conhecimento! :) Quem animar participar de algum, me fala!",1.0
2957,2956,"Tou mm a morrer e ainda vou fazer ""arrumações"" com o meu papai :)",1.0
16280,7807,@srly_idfc Deixaste-me sozinha :(,0.0
7693,7692,Que a cada manhã você descubra que a felicidade não está nos pr… — Muito obg :) e boa terça feira para si também :) https://t.co/9eIWHJke2L,1.0
2556,2555,Gostei de um vídeo @YouTube https://t.co/dmvUY6jmzI Pra Euh :) (Criador Na Desc) ~10 Likes ?!,1.0
12462,3989,@DaniihKim @AkimitsuTatsuo mas ele n me convido :( vo invadi kk,0.0
21376,12907,@imoonny :( Goku saiu mt lindinho nessa foto chega chorei...,0.0
5219,5218,"@feckofficial @BTS_twt Ain miga min abraça
Tenho 2 utt pq sou desses
:)
#foradalei
KKKKKK",1.0
16634,8161,@DJMinerinhoOFC pois e :(,0.0
14679,6206,@chicoocoelho Entramos em acordo agora :(,0.0
3407,3406,Passo me com a minha irmã e altera me logo o humor :),1.0
10232,1759,Aliás. Ja tamo em maio e mês que vem é meu aniversário   :(,0.0
21500,13031,Tu que ta sem celular :(,0.0
2295,2294,Com um estranho que se lembrou de me ligar às 5 da manhã :) https://t.co/muDTvC5x5C,1.0
5797,5796,"#BTSBBMAs
O mais bonito do nosso fandom, é que todas nós nos juntamos com o mesmo objetivo, que é ver os meninos sorrir :)",1.0
16711,8238,@MartaViaes Segues a minha :(,0.0
21317,12848,@deuscofield vai descansar :(,0.0
13546,5073,@joohetuan eu n sei cantar certo :(,0.0
20996,12527,@carla9664 pois é :(,0.0
19507,11035,@bIowmuke Obrigada por se lembrar de novo :(   espero que seu dia seja ótimo,0.0
21074,12605,:( sorte ta dormindooo,0.0
13985,5512,@millvxm AH EU NÃO ACREDITO que ela tá abusando da vulnerabilidade da Lena :( meu deus eu odeio os daximita e quero matalos,0.0
19466,10994,"Nos tempos em que vivemos, sonhar com liberdade é ser idiota ou desinformado e me mandam estudar :(

Estou triste... https://t.co/YoEGbmXyrQ",0.0
14413,5940,"cl sofre tanto hate nas redes sociais, ela é um anjo demais :(",0.0
2711,2710,"É hoje,aquele pagodinho diferente!haha :)",1.0
11709,3236,@cerve97 :( gorda :(,0.0
6306,6305,Notícia boa do dia hoje (terça) estou de folga :),1.0
18907,10435,"@netflix Bom dia, me ajudemmmmm!!! Não consigo alterar minha senha de jeito nenhum :(",0.0
24821,16354,"Toda vez que eu penso que tô melhor, algo acontece e eu fico pior. Deus que me ajude :(",0.0
5386,5385,@legaline_ Obrigado :),1.0
2265,2264,@IuriAnastacio O Sérgio contou me essa lenda ontem :),1.0
6259,6258,@surflorence @xgaldot A minha apenas :),1.0
2947,2946,"@AscensoSimoes desde que não ofereçam porrada a ninguém, deixai-os escrever o que quiserem. :)",1.0
15147,6674,"É legal sim quando vc fica lembrando de momentos bons, mas bate muita saudade :(",0.0
14030,5557,Eu tô tão sozinha :(,0.0
11521,3048,@pecesiqueira afastado pra atividades administrativas :-(,0.0
20839,12370,"Pois é e ninguém me conhece bem kkkk :(

https://t.co/ZygpZ4GyEA",0.0
25813,17346,"não sei se vou fazer textão pra adele,ela não entra nem no twitter imagina no insta :(",0.0
15740,7267,"A música já parou d tocar, queria completa,moça. Desculpa :(",0.0
11768,3295,@mandamoses1 Sei pq no meu ano de veterano eu fiz isso :( que bom que pokemón evolui,0.0
17443,8970,"@itshargitay simm, nao sei se foi do jantar de ontem ou ela ta meio doentinha :( #MasterChefBR",0.0
18999,10527,bar :( : e87b614c-4c99-4478-a07b-bb81ae7b62fd,0.0
4649,4648,Sou uma pessoa da séc :) — Anda lá tanta gente https://t.co/IOCLAQodIg,1.0
15107,6634,"E o Ph infelizmente se foi... Era um menino tão maneiro, gente boa, mas escolheu a vida errada :(",0.0
10479,2006,Uma simples frase já basta :(,0.0
16878,8405,"@ops_laiv Tô melhor amore, só estou chateada :(",0.0
3519,3518,"Bommm dia 
Sim acordei agr :)",1.0
18001,9528,@letisiat :( tenho essa imagem também,0.0
19713,11242,tenho mts saudades do Diogo :(,0.0
24735,16268,@wzpl @NiallHBra @NiallOfficial QUERIA :(,0.0
8546,8544,@isabtx @TiagoLuis_20 Acho bem :),1.0
24919,16452,botei o revival p tocar aq na tv e ta me batendo uma puta sdd dos lives da rwt volta logo selena :(,0.0
3555,3554,@daniellecruz valeu :),1.0
2328,2327,@MisterGatoLoco_ @Thranduilina De nada :),1.0
10388,1915,eu literalmente me olhei no espelho e tudo que eu vi foi um monstro :(,0.0
3351,3350,eu me lembro quando a miss reagiu quando chegou a 1 Milhão logo logo são vcs :) #LIVEDOMARCENHO,1.0
2517,2516,@meunomeejean Putz. Tinha esquecido disso. Se achar algum avisa aqui. :),1.0
17151,8678,Amo tanto minha bichinha :( https://t.co/1i93t17suj,0.0
8577,8575,"@edelsonhames a ideia era de 30 coxinhas normais... vem, divido com voce :)",1.0
16739,8266,Infelizmente nao havia data disponivel para contratar show do mc no dia da nossa conexao :( Desculpa a todos pela expectativa,0.0
5394,5393,"@hemiltonisbae Okay espero você! :)

GO MENDESARMY
#ShawnBBMAs",1.0
23339,14871,@srpalha af tu é d+ :-(,0.0
15017,6544,@nofunyixing saudades de ti também :( desculpa estar sumido,0.0
4569,4568,@lucassouza1921 verdade! É que estamos em processo de mudanças dá página para um local separado. :),1.0
22648,14180,to me sentindo mal pq briguei com o crush e a polícia deu choque nele em uma manifestação :(,0.0
22806,14338,@rebecap_ Pô só eu gostei :( hahahahaha,0.0
18935,10463,hoje eu só sei q vai ter muito trampo :(,0.0
14585,6112,"@gabcapelin @ThislsWow Aaah que lindo, eu quero :(",0.0
20731,12262,"@KawaiiYahiko ASDPOSAKDPOSJDOASDDSA
É serião
caiu mesmo :(",0.0
22324,13856,eu tenho bastante vontade de namorar mas as vezes eu acho que pelo jeito vou ficar encalhado por muitos anos ainda :(,0.0
9225,752,"@gabsayshi ele só precisa achar o caminho dele, pra logo logo ele estar com a mãe dele que era o que ele mais queria :( estou orando também",0.0
5571,5570,@hey_mika já processou :) tô vendo aqui \o/,1.0
19829,11358,@jaureats kkkjjjkk poxa :(,0.0
19370,10898,"@kstorecandy meu sonho, só q meu celular é moto e :(",0.0
8742,269,@cysfu porque nao? :(,0.0
22591,14123,@queenvitoriaII Mas estás tão gira :(,0.0
565,566,"Aquele momento que uma musica encaixa certinho :)
será - legião urbana https://t.co/tCWsDOFFjA",1.0
19419,10947,"@eusouoabelardo Não entendo pq fresno não tem um reconhecimento de todos :(
Obra de arte esse álbum cara",0.0
24975,16508,"@lmjattention amorrrr, fiz uma grandona, mas aí estourou na minha cara :(",0.0
17227,8754,@poxajessyy aqui nao atualizou ainda n :(,0.0
7993,7991,@CesarHercul não foi nada :),1.0
19969,11498,NÃO PODE :( https://t.co/kgNQ2ta83V,0.0
4481,4480,@poppy_dandelion @vb_bandera As do I! :),1.0
21874,13405,A dormiir :(,0.0
8404,8402,@yesvkook @ProjetoooHelp @pink_namjin @BTS_twt se vc diz :),1.0
21386,12917,"@irisbellato maquiagem faz eu me sentir feia, detesto :(",0.0
22845,14377,Que desgraça imensa tu só estar fazendo teu trabalho e numa discussão de trânsito alguem puxar uma arma :( :( :(,0.0
23511,15043,O vídeo fala por si só... Esse esquerdismo apresentado por essas pessoas só pode ser doença :( https://t.co/8zZUlsGjiY,0.0
18144,9671,@AmandaCrush12 estou sem cel por alguns dias :(,0.0
2065,2064,masnssnssss enfim entretanto todavia tenho muito tempo pra me recuperar :),1.0
19049,10577,To com o coração apertado :(,0.0
23587,15119,esqueci os fones em casa hoje :( dia triste,0.0
17009,8536,@gabitininha @Brumsos eu li rindo mas esqueci que tô te devendo :(,0.0
13167,4694,mais um ano que não vou conhecer o shawn :(,0.0
6615,6614,"@Mcintosh_XXX De nada :)
Sé feliz :) 
:)",1.0
21107,12638,És lindo mas n me falaste quando me viste na Luz :(,0.0
24786,16319,@SpotifyAjuda deu o mesmo erro. :(,0.0
13225,4752,bora chorar com depressão pós dorama!!!... :( :( https://t.co/9tbJHWauII,0.0
16925,8452,"@x__luis to com saudade dela, manda beijo :(",0.0
4204,4203,"Aqui ta o LINK da LIVE, começa as 16:00, esperamos vcs por lá  :)

https://t.co/hWDRjUA0UO https://t.co/phF6G8V7pn",1.0
16449,7976,"@SoMais1Episodio Sim, eu gostava muito, eu meio que já esperava pela audiência baixa ( e o Money manda né ?) mas fiquei triste :(",0.0
22403,13935,To com medo da minha mae ter dormido na rua pq n lembro de ter abrido a porta p ela essa noite  :(,0.0
13010,4537,@ana_malacarne Precisava gritar poxa? :( kk,0.0
2462,2461,"@jcaetanodias Não auguro grande futuro no Público para este jornalista
:-)",1.0
19901,11430,Saudades demais dela... :(,0.0
20887,12418,eu só queria um casaco da purpose tour :(,0.0
17478,9005,Quando um dos pilares da vida abala... O que fazer??? :(,0.0
6134,6133,Hoje o dia foi suave  :),1.0
1871,1870,"Forever decepcionada, mas não surpresa :)",1.0
2758,2757,"Aquele sabor doce amargo de saberes que vem aí a queima, e que na semana seguinte tens 10 exames :)",1.0
3782,3781,"adoro quando tenho o cabelo vermelho e tomo banho, a água parece sangue a escorrer pela minha cabeça :)",1.0
4393,4392,@lerpesquero Isso seria Henrique e Juliano :),1.0
15315,6842,@julianaazevedop ta esquentando dnv :(,0.0
14702,6229,@seoloult can relate :( fica difícil confiar nas pessoas ;(,0.0
170,171,Pelo menos né :) https://t.co/nSesTe16OR,1.0
22604,14136,@00XCAT Eu estou bem. Perdão pelo sumiço. :(,0.0
24590,16123,@nCaiquee @tylerthecreator mais um ano sem ir :(,0.0
12305,3832,#BTSBBMAs AINDA TENHO Q VOTA POR OTA CONTA NAM :(,0.0
3036,3035,@danielmorais93 AHAHAHH podias ter escolhido uma ft um bocado melhor ahahhah mas yha Obg mano :),1.0
24609,16142,eu sempre esqço de usar a BOGO SIPDA :( stq #BTSBBMAs,0.0
17654,9181,bar :-( : 3e07f477-c45e-40d1-97cc-0cfcd0f07fab,0.0
16683,8210,"@vitunascimentos Migo, não tô! Sério? Coitada :( vou voltar pro snap dia 11.",0.0
3648,3647,"@Felix_Nuno Sim, realmente dito assim tem mais sentido lógico. Sou só um gajo desconfiado... :)",1.0
430,431,Esse quadro do Faustão eu dei valor!!! Show dos Famosos :),1.0
25551,17084,"@gabietges Cheguei a gelar aqui, juro. Pequena até consigo lidar, mas assim nao :(",0.0
15043,6570,"@alwaysolarantes Rsrsrs gosto do meu user.. tenho ele a quase 10 anos :( já nem sigo muita gente mais, o jeito será deixar de usar mesmo",0.0
16792,8319,Meu copo da MERT quebrou mesmo :(,0.0
19913,11442,"Vamos fazer panelaço pra OUAT ser finalizada pfvr, tão destruindo oq era bom :( https://t.co/zvah8MoFP7",0.0
12584,4111,Bebê. :( https://t.co/bt2hxw5myB,0.0
4401,4400,"#BTSBBMAs 
Voteeemm 
Vamoos ganhar

Agora, só acho desnecessário ficar no Twitter só pra votar....
Nada contra :)
#sinceridade #sóoquepenso",1.0
4777,4776,IstoÉ ... Um merda... :-) https://t.co/6lheSMiiId,1.0
4932,4931,"@juliabdk @BTS_twt Td bem, cê tá super certa, mana :) Fighting!! kkkk",1.0
8777,304,o cabelo o rostinho :( jeon eu te amo o infinito e alem,0.0
21125,12656,fofurinha :( https://t.co/UZZIesSS0F,0.0
13238,4765,"@drunkslarry ja tentei, não vai, aparece só que não tem nenhum dispositivo disponível e não tem os três pontinhos :(",0.0
19083,10611,@jecnniekr @cgantrbl @prindocess @hmyeot @cyphrjin @ksrwoon bocor :(,0.0
9361,888,@PILLOWHAM bebe nada para de queimar meu filme hyung :(,0.0
20686,12217,Quero trocar de celular logo :(,0.0
14677,6204,@Bangerzzx me abraça Jerry :(,0.0
6779,6778,"AS INVASORAS NAS BOCAS DO MUNDO 4: Mais um post sobre plantas invasoras :)
Enviem-nos links sobre invasoras, de... https://t.co/shaO5HxRCe",1.0
7768,7767,"@UnicornStrogs Por nada! :) Qualquer dúvida, pode nos chamar!",1.0
5285,5284,@Garcia_Itaipu Vale mais a pena levar a menina no Maraca. :),1.0
16970,8497,tomo UM banhozinho quente as tattoos já ficam meio fubentas :(,0.0
18506,10034,@Aye_melgar mentira :(,0.0
11116,2643,bar :( : 0f5667b5-0f8b-48a3-b99e-900497096d0a,0.0
4242,4241,@alexandravsc pergunta ao @TTduty :),1.0
18234,9761,@GLX_SINB98 @GLX_BSJ94 Kkkk mianheyooo :(,0.0
4289,4288,"Eu gostava, agora amo :) https://t.co/hWfkLFKKgh",1.0
24772,16305,Eu dormi no almoço kkkk nem respondo as pessoas :(,0.0
9176,703,#REDWIN #MSI2017 RED nao ta conseguindo jogar esse ultimo jogo. :(,0.0
20960,12491,@jusouzag_ Nem o meu :(,0.0
2865,2864,Juro que a cama dos pais da Joana é bué fixe      :),1.0
17065,8592,"faz esquema pra mim e o pitoco, tmj — Ele tá com a bea, desculpa :( https://t.co/KRF9levN8k",0.0
8065,8063,"@OmarionSpfc Bom dia amigo,confira o meu texto novo no @TricolorOnRock https://t.co/jjmTsJ9XP3 conto com sua leitura :)",1.0
3093,3092,@RodrigoDraeger :) loviu!,1.0
19296,10824,"nunca fiquei sabendo de algum show do rashid aqui perto, alguém me leva :(",0.0
2802,2801,@RuelaRosa só café n café d bairro porque é fundamental a funcionamento e porque cumpre função social :) td resto nada :),1.0
24475,16007,@SpotifyAjuda Mesmo sendo músicas do mesmo disco? Metade do disco tá fora e outra não. :(,0.0
3452,3451,@LarasendoLara Acabei de verificar e ela é pública. :),1.0
18023,9550,@MaxGarcez1 Que que eu fiz de mal para esses motoristas? :(,0.0
16751,8278,fico triste quando vejo um post no amar depois dos 40 só com 1 like :-(,0.0
21080,12611,@jessicafreitas_ Porra eu fiquei muito triste :( HAHAHAHA,0.0
16756,8283,minha mãe não fez boa propaganda de mim no scrabble pra eu levar uma surra de prima advogada n :(,0.0
458,459,Já comprei! :) A programação tá muito boa mesmo! Obrigada! https://t.co/Pf5XabWoQN,1.0
20710,12241,qd é que vcs voltam a fazer perguntas? :( https://t.co/Jy5jTRa30W,0.0
9006,533,Essa torcida desanimada só desanima mais ainda os caras :(,0.0
21460,12991,Só o que faltava a WWE fazer isso com a gente :( https://t.co/NgJhUAo9tP,0.0
6927,6926,eu nao dormi nada essa noite :),1.0
24742,16275,"eu queria ter espaço na memória para baixar :(
BOGO SIPDA
I vote @BTS_twt for #BTSBBMAs Top Social Artist https://t.co/Pd1Yn0IomT",0.0
25039,16572,@cata_vb Me fui :(,0.0
14466,5993,sim!! a própria petunia parece ser mais apegada com o luke seria ruim até pra ela aaaa :( https://t.co/8SH9KDriqO,0.0
16840,8367,vou assistir o video do lorran que nao vi ainda :(  ♥,0.0
2284,2283,@andyttr10 Obrigada! :),1.0
8563,8561,"@MiticoNelo @SuperSlim09 vão ver os tweets dessa trend,  e vejam para quem é :)",1.0
9806,1333,@giovxnns pq tu apagou ? :(,0.0
23458,14990,você é a luz mais linda :( https://t.co/UbfsNwWzbO,0.0
9550,1077,Nss amanha tinha que organizar umas coisas mas n vai dar tempo :(,0.0
23821,15353,a gisele falando que reza pra que eu e o Luís possamos nos conhecer foi a coisa mais linda :(,0.0
16085,7612,@RaquelMazeika aqui não tem BK :(,0.0
24074,15606,"@stephbfmv ahhhh
feels bad :(

mas essa data foi votada tipo massivamente por todo mundo",0.0
25185,16718,"ai é revoltante, até chorei aqui. eles não tem praticamente nada e esse nada querem tirar dele :(",0.0
1738,1738,sinto que estou muito mais comunicativa e sinceramente isso me ajudou muito aqui :),1.0
10206,1733,"Passei por isso semana passada, tomei uns 4 soros :( https://t.co/e3CKozbmq1",0.0
19241,10769,ele é tão educado :(,0.0
20953,12484,"@lwdagger verdade. Mas tem dias que tudo fica estressante, pesado demais, os dias ruins parecem n ter fim :( é bom ter alguém p desabafar",0.0
12132,3659,caralho :(,0.0
18075,9602,mano vai tomar no cu tô mto triste :( https://t.co/a1uBwuSQmn,0.0
13148,4675,@familykatycat KKKKKKKK eu só usava tudo colorido e uma franjinha :(,0.0
24152,15684,Eu é todos os dias!!  :( https://t.co/d013GvNV7b,0.0
