"id","text","sentiment"
"281","todo mundo indo pro role :( e eu vou dormir q amanhã vou trampa :/",0
"282","@lorevinagrete amanhã n têm aula :(",0
"283","queria :( https://t.co/ApFTyP8jAG",0
"284","Anna foi embora :(",0
"285","o meu amor :( https://t.co/8xMEdiV1ur",0
"286","@falecomtony qm ta devendo sou eu n fui na sua despedida desculpa ::::::(",0
"287","só queria um chocolate :( é pedir demais?",0
"288","Scrr, ainda bem ❤, pq falaram q o Tom não iria aparecer em Infinity War :( https://t.co/3KRjJ6D3VI",0
"289","queria tanto que o justin fosse no met gala :-(",0
"290","aquele triste momento que tu tem um amigo tricolor :( https://t.co/MF4yHk0Cix",0
"291","queria te namorar e te fazer feliz :( — q amor, me chama pra gente bater um papo, já vou lo... https://t.co/6aPnWoD57Q",0
"292","necesito mas amigas :(",0
"293","eu queria tanto o Berrío quarta :(",0
"294","minha garganta tá doendo mt :(",0
"295","agora só porque eu mudei pro sul e não vou no estádio mais eu não posso torcer pro goiás, paia demais tô triste :( https://t.co/WCe9EBe9dS",0
"296","Hoje tem MARA e eu vou ficar em casa :(",0
"297","a meu amor ela deve tá tão cansada eu quero cuidar dela :( https://t.co/dvRJBVeByn",0
"298","Migos eu criei uma conta nova no Instagram, me sigam novamente pois a antiga já era :( o user é liviabregis",0
"299","Achei que ia ser dessa vez :( https://t.co/gAF7ArLS0g",0
"300","@mrtoled_ Tadinho :(",0
"301","@deX_gohaN @deX_gohaN eu vou ter meu mod de volta quando ? :(",0
"302","só deus sabe o quanto q eu quero q o dia 1 volte eu tô com tanta sdd do justin meu deus eu vou ficar louca :(",0
"303","ainda é cedo :( https://t.co/llXvoRc1wb",0
"304","o cabelo o rostinho :( jeon eu te amo o infinito e alem",0
"305","Estou com tanto sono :(",0
"306","Sdds da minha linda namo :(",0
"307","@nthnsk @kalilcf achei que cê ia pra pg só amanhã, tudo bem eu entendo o preço da passagem é osso :( fica pelo skyp… https://t.co/Ti2znZDih7",0
"308","Mandem dm :(",0
"309","NAOOOOOOOOOOOOOOOOOOOOOOO tou chorando muito :( volta @dan_jeannotte https://t.co/goNCN8ZpMc",0
"310","eu escuto a vizinha assistindo o faustao e o coração aperta de saudade de casa porque era o programa de todo domingo com a família :(",0
"311","@fuckingnash_ ele comeu o Tobias :(",0
"312","a bichinha deve tá morrendo de ser eliminada amanhã :( não posso deixar isso",0
"313","me copio de cece no me ignoréis :( https://t.co/Zwzu27Q5bT",0
"314","saudades das noites jogando just dance na casa de lauriza. saudades ser vizinha de lauriza e quase morar na casa delas. saudades lauriza :(",0
"315","Aaaaaaa meu :-( que fofinho https://t.co/TxKNdX5XJb",0
"316","@opabrubs oi Bru, me abraça terça na faculdade
n aguento mais, cara, tá muito foda aqui em casa :(",0
"317","sonhei com o gostinho do lucky strike q delicia :(",0
"318","A TPM fodendo o rolê, só quero chorar no dia de hoje... :(",0
"319","alguém pra me alegrar agora... ao meu lado :(",0
"320","ba, amanhã já é segunda
e depois terça 
:(",0
"321","ai gente, eu só fui ver isso hoje :(
#MelhorasLuba",0
"322","@unvago_mas Trabeme :(",0
"323","@NeilCarlos1 foi sem querer :(",0
"324","Tadinho do meu Keiller :(",0
"325","Aviso Triste Para Vocês :(: https://t.co/7wmkVrGSJ7 via @YouTube",0
"326","@juzao_g Tô mal pra krl :(",0
"327","você é uma das pessoas mais fortes que eu já vi e n... — mt obrigada por isso anjinho :( as pessoas dizem qu... https://t.co/pt5U85fk1c",0
"328","@yoongibp fui nao :( e vc?",0
"329","@houistans top eh tao importante p mim bicho :(",0
"330","o luba é a pessoa mais importante pra mim, doí muito ver ele mal, eu o amo tanto tanto :(",0
"331","@AbnerThiago2 Aham :( se tivesse entrado não teria perdido",0
"332","não acredito que minhas amigas me abondonaram :(",0
"333","@miIastrike Nossa eu também viu, isso é um crime ao meu coração :(",0
"334","@thurmiclovers Amoooor, ja deixo vc aparecer viu? :(",0
"335","Já quero o fefe cmg :(",0
"336","@sevillagoals @myheartks @onlysmg @ereslutteo @kendalljexnner @zeneresquad a gente parou de conversar :(",0
"337","tou com pena da senhora :( #pesadelonacozinha",0
"338","vim pra casa, to sozinha, abandonada e triste :(",0
"339","ja morrendo de saudade de duda :(",0
"340","@_Dhay_ane @Corinthians Queria ir p Arena domingo que vem :(",0
"341","to triste pq nao vou hoje p um lugarzinho q queria mt ir :(",0
"342","@thiagodutrra kkkkkkkkkkkkkk o pior eh que pesa mesmo :( joga na cara nao que eu fico até triste",0
"343","@leonarddsn1 E não é pouco :(",0
"344","https://t.co/pjFCbNUNew

Descanse em paz Belchior!
:( https://t.co/VkqIma5cR6",0
"345","@mgonagaII Ai, foi quando o pai dela tava nas últimas :(",0
"346","normani eu te amo muito :(",0
"347","queria tanto ter passado o dia com meus amigos eu to tão triste :(",0
"348","Que cagada foi essa com o guitarrista do Pain of Salvation saindo da banda :(",0
"349","@fsluhh Como que ta o jogo?? Não posso olhar :(",0
"350","que saudade do meu gato :(",0
"351","@gabigol que saudade absurda de voce :(",0
"352","@yolaroon Vivo traumada yolaaq :(",0
"353","Terminei o Sistema Cardiovascular, me preparando psicologicamente para responder o sistema Hematológico. :(",0
"354","@francamentemat Não sei tbm, podre né :(",0
"355","Perfil do Atlético não tuitou o terceiro gol :(",0
"356","passou-se :(",0
"357",":( meu amor some",0
"358","@FeCastanhari vejo suas fotos com ele e fico triste lembrando da minha que era iguaizinha e meu vizinho envenenou ela :(",0
"359","Agora tô fome :(",0
"360","quantas vezes eu preciso dizer que você é linda e q... — ainn :( ta bom, coloquei uma só pq você pediu! https://t.co/CqI0lliqqf",0
"361","Nem vou no 182, to passando mal :-(",0
"362","@beatriz_sartore poxa ami :(, tadinho",0
"363","@kimyugyeown infelizmente não :(",0
"364","deu ruim :(",0
"365","@lmjsinger @jaguarsbest @jauregisart to com pena da pats :(",0
"366","@frrdias1 aaaaa obrigada amor :(",0
"367","queria :( https://t.co/NhfSn34kso",0
"368","@Casamento_Nerd Queria ter ido :(",0
"369","só queria uma mensagem fofa :(",0
"370","@charleshora :( vc ta seguro migo?",0
"371","Eu to bem triste de novo :(",0
"372","@JosethRivas que horrible :(, ver series acostado o dormir",0
"373","@ss_gaab amiga eu vivo esse drama também :(",0
"374","@_guiarjonas tô c tanta saudade :(",0
"375","Tenho que comprar algo p festinha ainda :(",0
"376","N queria ir embora :(",0
"377","eu simplesmente bloqueei a vontade de estudar :(",0
"378","@kindszayn A melhor forma pra você é a gente separado? :(",0
"379","Que sensação horrivel :(",0
"380","sentindo me sozinha :(",0
"381","Eu - isso faz me mal ao coração 
Pai - tu tens coração?  
 RIP :(",0
"382","A nova apareceu nem vou dormi + :(:",0
"383","@Estherbpereira volta aqui :(",0
"384","Queria tanto cortar uma franjinha, mas não combina com o meu rosto. :(",0
"385","@_camsilva Ah amiga,eu esqueci de chamar! Achei que não fosse nada demais :(",0
"386","@crissielcr sou d+ :( onde vc tá?",0
"387","minseok disse q te ama — ele mentiu :(  https://t.co/gHyy3j6zoD",0
"388","@PatoPapao Simplesmente triste :(, mas #GoRed",0
"389","@parkbxgum desculpa :( eu vim aqui agora",0
"390","@Be_Bassinger Eu conto sim nem vem, você some :( Não pode sumir",0
"391","tô super confusa entre letras-literatura inglesa (portuguesa junto né se eu fizer br) ou direito.... ah meu deus do céu :(",0
"392","@GieLeeo É sim more :(",0
"393","@doctorhswho caralho que dor :(",0
"394","nao quero estudar :(",0
"395","fale um pouco sobre seu utt — poxa eu nao consigo :( https://t.co/fIGhPAaM6P",0
"396","@flaviabrasil Simm, tá difícil por aqui e eu me alimento bem :(",0
"397","@anittaftsophia desculpa nenê :(",0
"398","o vinie ta tão lindinho :(",0
"399","@nes_mesquita Não me convidaste :(",0
"400","@thuanny_kelly Só pq eu não tô aí vc vai :(",0
"401","@arianapoesie te amo pequeno amjo n me trata assim :(",0
"402","natasha pará needs you — :-( https://t.co/GZulRYsD8r",0
"403","Aaaa glee me traz mt alegria mas eu tenho q ler meu livro :(",0
"404","meus pais indo dar rolê de novo e eu aqui na internet, mais uma vez. que droga não ter amigos em itu, mesmo tendo morado tantos anos aqui :(",0
"405","@Kutiooz @VexesUHCs o eu EUA :(",0
"406","@SRKTitli Bore ho raha :(
tum batao",0
"407","@wesccola os olhares :( :( tô bem tristona agora",0
"408","@mgonagaII Pois é. Queria que Kate tivesse ido ver a peça da Amy também, mas If I Forget ficou mais tempo em cartaz que Rules of Seconds :(",0
"409","@emstorniolo Ahh, não vi migo :( desculpaaaa",0
"410","eu amo o jackj demais não consigo ver ele mal :(",0
"411","Aí queria tbm :( https://t.co/kDkk1rcXiC",0
"412","QUERIA SAIR PRA VER ALGUM MACHO GATINHO MAS TA CHOVENDO :( VOU PEGAR UMA SOMBRINHA",0
"413","bar :-( : b4de7e91-44a2-4226-b0c4-f72e313fbfd0",0
"414","@Beatriz_CND KKKKKKKKKKK miga sua lok no domingo eu tenho uma prova super importante, se n fosse isso eu ia :(",0
"415","aaaaaaaaaaaaa meus primos tinham ido tudo na quadra ver o jogo e eu dormindo :(",0
"416","@WONHOGlRL sim :( mas tbm eu nem vejo dms",0
"417","Tentando me manter pleno e confiante, mas os dias estão passando e, não sei como vou comprar meu ingresso para a Dangerous Woman Tour :(",0
"418","eu nao acredito que eu nao tive uma unica oportunidade de ver este homem ao vivo :(
https://t.co/bJQZkM2NaW",0
"419","Fico trist quando minha parseragi vai embora :(",0
"420","aaaaa dor de cabeça :(",0
"421","Me arrependi de ter feito chapinha, agr nem da p lavar, já está tarde :(",0
"422","@MafraJamilly AI, fica assim não :(",0
"423","eu sou a maior stan do meu gato &gt;:-(",0
"424","eu queria alguém pra trocar mentions comigo :(",0
"425","NÃO! Tá dando merda. :(
#GORED",0
"426","ah mano, qq é isso :( #MSI2017 #REDWIN",0
"427","té mais :(",0
"428","@MrHenriqueShow Porque tu tens razão :(",0
"429","@CarolS_soares Que ódio eu gostava de ver quem seguia minhas coisas :(",0
"430","Gente, amanhã é feriado. 
O que tem pra fazer hoje? 

PS: que não gaste mto porque tô, atualmente, desempregada :(",0
"431","@regislezz poxa desculpa :(",0
"432","byungchan, você é lindo demais :(",0
"433","@cmanczur Sinto muito :(",0
"434","@gabsiq Miga, a fome é tanta que não consegui esperar :( agora tá áspera, que droga",0
"435","eu só queria ser mais legalzinha pra todo mundo :(",0
"436","@Cap_________ A @NETatende não me atende :(",0
"437","@Kzi17 Bateu até a bad agr :(",0
"438","Estás a ser falsa lex nem respondes antes de ir dor... — mas eu já respondi :(  https://t.co/UHNCNGjBP0",0
"439","@camilaonlys :( eu não sou",0
"440","Fogo João era segredo :( https://t.co/SwFc07B9VQ",0
"441","não acredito que o zé felipe é filho do leonardo, minha vida acabou. :( (não confio no leonardo, desculpa)",0
"442","Eu tipo, só quero desenhar :(",0
"443","Poxa foi rapidinho que ela apareceu :(",0
"444","@_israelsilvaa Fds é o  melhor sempre , agr tenho q esperar o próximo :(",0
"445","Pq nadie me felicita?:(",0
"446","@proudtwice De saudade :(",0
"447","Hahah tenho um monte de amigos q estão no faustao para ver Wan, faz tanto tempo q n a vejo :( ♥",0
"448","@JoaoCastroSport esse parece que não serve :(",0
"449","Tomara!! É o que desejo!! Foi uma infelicidade do garoto. :( https://t.co/SCOAu1FP5Y",0
"450","Queria estar em nilo com o pessoal :(",0
"451","@OODDHW Meu deus!! Tomara que passe logo :( Evite claridade, está bem? ;;",0
"452","no cortei meu dedo dá doendo demais :(",0
"453","tão linda o amor da minha vida :( https://t.co/8N0fsOMPRL",0
"454","Preciso dá minha pistola de cola quente e o Vinícios não devolve, tô brava com isso :( pq já pedi 27363836282637383- vezes",0
"455","@dontparadise Tadinha :(",0
"456","estou a ficar constipada :( por causa destas mudanças de tempo",0
"457","@sarasilvafigue1 é bom saber :( https://t.co/axp4U4MGsv",0
"458","Pqp agora eu moro de vez em SP, mãe comprou casa la afff :(",0
"459","@carbells7 eu não te vi :( mas da proxima eu aviso s",0
"460","@P00DL3 de celular mesmo :(",0
"461","eu vi aquele filme a cabana tô muito triste :-(",0
"462","Mas ou chegam em maio ou em junho :(",0
"463","Queria demais ver a Livinha hoje, mas eu tá passando mal atrapalhou :(",0
"464","@chatshire_ Te invejo, queria ter esse hábito :(",0
"465","@_mariag99_ Nem sabemos o nome dele :(",0
"466","KD versão full :( https://t.co/K3yu8ueysE",0
"467","Meu denguinho foi trabalhar, a nemmm :(",0
"468","Dioud tá vacilando muito #RedCanids :(",0
"469","@Thiago_Lui Migs vc não foi na adirc :(
Sdds",0
"470","@Cap_________ @NETatende Eles pediram os dados do assinante por DM e sumiram (isso na sexta), tá foda
Eu tenho freela pra entregar terça :(",0
"471","@_brenofelipe Vou até olhar lá no evento kkkk quero rir pra tirar o tédio de domingo, já que não fui ontem e nem sai hoje pra Psy rs :(",0
"472","Como eu queria uma pessoa pra mim ficar trovando fiado, falando merda, compartilhar meme, ai :(",0
"473","Exatamente, o posicionamento tá terrível :( https://t.co/6RUGZSZ74d",0
"474","Tô acompanhando esse jogo só pelo tt e agoniada :(",0
"475","@_tavarezzz Queria ter capacidade intelectual e audiovisual pra produzir essa obra de arte :(",0
"476","Justin vai no met? — não :( https://t.co/NnFbp1CuvP",0
"477",".@andreiafranck de saudades tuas e isto começa a complicar! Fazes-me falta :( és lindaa, adoro tudo em ti, nunca mudes bebé ❤️ simpática",0
"478","Alguém q diga sítios p explicações para matemática pls.  :(",0
"479","laurinah é tão lindo :(",0
"480","@jetaimecoups eu não quero incomodar você com isso mi :(",0
"481","@mlgaldino @pirulaaz para vei :( sou só inocente mesmo",0
"482","aí tô amando minhas compras no wish, só falta o dinheiro kkkkk :(",0
"483","@tapocaopiniao ooohhhh bb! :( chegay to aqui ti ami",0
"484","o tempo tá passando rápido demais :(",0
"485","@baianolol1 isso que a red abriu 4-0, tenso :(",0
"486","Eu fico tão triste com esses bugs que ñ me deixa ver quem citou meus tweets
Serassi a pessoa pensa que ficou no vácuo? 
Gente, desculpa :(",0
"487","@drewmuleques então, pena msm :( kkkkkkkkkkkkkkkkkkkkk péssimas",0
"488","@boas_tamiris Poxa Tamiris :(",0
"489","@Paulla_Limma pois é :(",0
"490","meu laurmila ta tao morto... era tao lindo :(",0
"491","@BagaSantos4 poxa n fala isso :(",0
"492","Luan cantando amar nao é pecado versão ao vivo no rio sentadinho aaaaaaa já tô com saudades :(",0
"493","eu só quero ir pra casa :-(",0
"494","@ana_negra é sério, passei uma vida sendo fa desse homem. Aí o cada vira o ápice do chorume. Foi uma desilusão amorosa forte demais :( KKKK",0
"495","Deus me ilumine a ter um relacionamento tão lindo assim​ :( https://t.co/UPHYYVpaXk",0
"496","olha To bem triste  :(  meus casais se separando",0
"497","@coffeeandpaper eu nao lembro de onde vc é :(",0
"498","@PatoPapao pato papao 1 vídeo a cada um Campeao novo :(",0
"499","@brubarrosn Não precisa falar a verdade assim, na cara :(",0
"500","@chanoeyl oh amiga eu vi mais cedo sofri muito :(",0
"501","Nunca dei ressaca como essa pqp :(",0
"502","@Cap_________ @NETatende Tudo fechado por conta do feriado :( eu estava pensando em ir no shopping Curitiba mas parece que vai fechar também",0
"503","@lucas_flames @pipiucota Tá foda né :(",0
"504","nao consigo me levar a sério com essa foto do Faustão :(",0
"505","tô doente :(",0
"506","Nappon e Robo deram a alma mas não foi suficiente :(
Sério os 2 estão de parabéns.",0
"507","Se sentido sozinha :(",0
"508","@RodKalec quem chegasse no msi ia gnahar uma vaga direta pra sua região? :(",0
"509","estou tao triste :(",0
"510","cara nunca pensei q quase choraria por lol :(
eu qnd gosto do time torço demais, mas ok ganha desses turcos fdp e foco no 2° split
#GORED",0
"511","Se maio não tiver @Cat_Dealers em SC vou ficar bem chateada. Quero comemorar meu aniversário :(",0
"512","O problema da red nesse jogo foi os drags que a DW pegou, o dioud e o tockers trollando um tequinho, e o brtt apagado no game... :( sad",0
"513","mas é tão difícil :-(",0
"514","alguém me leva pra lanchar, estou triste :(",0
"515","eu to mto sad, eu tava jurando q a red ia conseguir virar esse jogo, coe :(",0
"516","@leosantosdantas nossa que merda :(",0
"517","@HandsomeDeevil Mas eu não fiz nada :(",0
"518","@xxxgiovana aaaah :( achei tão massa, queria saber",0
"519","Quero açaí :(",0
"520","@isathalia Eu tive que assistir a cena pausando porque eu não aguentava ver ela assim :(",0
"521","Ngm quer ser minha amiguinha :(",0
"522","Ninguém me gira dessa peniti :(",0
"523","@Whanbulance eu to chorando demais :(",0
"524","to com medo de pedir a minha mãe p me levar na festa da mnh amg e ela flr q n vai me levar pq tá chovendo. n quero gstr dinheiro com uber :(",0
"525","o mundo é mais feliz só por causa da sua existência — o que você ta querendo em :-( https://t.co/VuzYIW7zVC",0
"526","Ahh man.. Red está fora do msi :( #Gored #ForçaRed",0
"527","@cyllborg não tenho :(",0
"528","@heymoonlight_ Sim,infelizmente é só o 1 do grupo e a Red perdeu 2 games :(",0
"529","@motorixta verdade mas quem tem tempo ultimamente né :(",0
"530","Enfim.... Obrigada por tudo, você vai ta sempre no meu coraçãozinho.. :( te amo ""xuxu""",0
"531","@caju_sz @brttOficial @tockerslol @nappon_ @robolol1 @Dioudlol Poxa caju, SMP q o brtt pega cait ele perde :(, fala… https://t.co/f3pnzZlPu2",0
"532","@_pottter @chxrliebjr Eu sou ágata :(",0
"533","Essa torcida desanimada só desanima mais ainda os caras :(",0
"534","Jogaram muito bem Red, mesmo esse jogo não valendo mais nada espero que deêm um show :( #GoRed #MSI2017",0
"535","@omgkarlao so nega as coisas pra mim :(",0
"536","@nbadasmeninas Bah, é tão triste ver ele não dar certo com o Clippers :(",0
"537","@williangordox tao fora :(",0
"538","@nobiebermodel Tbm, mas aquele gank 2x2 no top deu mt ruim :( se n tivesse acontecido tbm seria win",0
"539","@1tchutchuco_ tem uma tropa pegando meu avata novatos sabe ai fico triste :( malditos n pude preve seus movimento",0
"540","@Wearegiven Ele não tava 100% :(",0
"541","@baianolol1 Ficaram emocionados :(",0
"542","@taemw porra amanha? pq segunda gnt? af :(",0
"543","Queria :( https://t.co/zkilpyjSPC",0
"544","@williangordox Igual vc na md5 gordão :(",0
"545","@allons_me @SeriesBrasil pois é :(",0
"546","@rubenjpvieira Acho bom ela adiar o disco e lançar algo melhor como first single :(",0
"547","SÓ A MIM É QUE NÃO MANDAM :( https://t.co/ktnIR3dDfQ",0
"548","Só queria voltar pro dia 31 de janeiro e dizer não pra aquela maldita pergunta :(",0
"549","sim :( infelizmente https://t.co/8rFybuiI0g",0
"550","@thalitameneghim Libera um trechinho aí, eu não aguento esperar :( #ClipeDepoisDas11",0
"551","Rasguei meu but la :(",0
"552","to com mt saudades do meu camrenah :(",0
"553","@Thatajia eu já olhei em todos os cantos possíveis da minha casa :( tá com visita em casa e ela é MUITO arisca, tô… https://t.co/x1Ar7W4FCd",0
"554","AHHH eu tô tão triste :(",0
"555","@Kaiquelovee Kaique, ficamos preocupados com seu tweet :( Conta pra gente por DM o que houve, pode ser?",0
"556","@samuelrhbn Eles jogaram mt mal esse ultimo jogo desde o draft isso me deixa triste :(",0
"557","@marinafreitasd @BestEarthPix KKKKKK tão bunitin :(",0
"558","É.. quando a gente é avulsa o jeito é ir pra missa sozinha :(",0
"559","@ziggyzira Já foram desclassificados :(
Yoda pode mudar nada infelizmente",0
"560","@_brunadelimaa @Nuffer_ O draft era ótimo... faltou um tanker :(",0
"561","nossa cara o Yoda tá chorando :(
#gored #redwin #MSI2017",0
"562","@marlatuita Nossa q ruim :(",0
"563","@taegomx :( o caralho é melhor comprares bolo senao eu obrigo-te",0
"564","O mate doce queimou toda minha língua :(",0
"565","Aah cara, eu não aguento isso :(",0
"566","@drunkinaaron Não tem mais depois desse :(",0
"567","@picoca @Kamizeon Aqueles pick offs que voce tomou atrapalaharam demais ! Acabou com o jogo :(",0
"568","Mozão foi embora :(",0
"569","@overdoexo putz ce nao pode ir nao? :(",0
"570","fui assistir htgawm agora e não tava lembrando de nada :(",0
"571","@MormayAgatha Td mundo vai :(",0
"572","Vi um vídeo hj que tinha salvo no snap, que doeu :(",0
"573","Meu joelho tá bem sensível ainda :(",0
"574","Ai a família Hernandez é a melhor mesmo :( Jerry é um ser humano lindo demais",0
"575","@FranGAstorga Aiudaa :(",0
"576","@Em_Taw sdds também mozão :(",0
"577","@tixinhadois minha vida é uma piada...
feelsbadman :(",0
"578","poxa, ficar sem Palmeiras é mó ruim :( https://t.co/BfX1irmUfH",0
"579","Krai o Dioud ta morto ali na cadeira  :(",0
"580","@tutu_gomess pq eu não tô pilhada :(",0
"581","Como sempre ninguém falando cmg :(",0
"582","Quando eu falo que vou dirigir todo mundo fala ""não queremos morrer tão cedo"" kkkkkkkkkk :(",0
"583","Queria apagar esse dia :(",0
"584","Fofof :(",0
"585","gostaria de ser menos furona com luiza mas forças maiores me fazem ser :(",0
"586","@sweetlanadr aaaaaa essa azul? se voce quiser eu te passo ela pq  não estou confortável com ela :(",0
"587","@IMTPortilho Queria ser FNC :(",0
"588","também achei um maio lindo da d.va mas
pra variar
não
cabe
em
mim
:(",0
"589","@IMTPortilho é o jeito :(",0
"590","O que aconteceu com a RED? Eu cheguei agora em casa :(",0
"591","nao termina comigo egua :(",0
"592","@b_marimelo Você me abandonou :(",0
"593","pq minha vida tem q ser assim :(",0
"594","tava assistindo o segundo game da RED e tava tudo indo bem
ai eu sai e quando voltei a RED tinha perdido :(",0
"595","@AldericoMZ Cacete, eu to com 80 e achei que tinha acabado! Tu conseguiu solucionar o que tem na torre dos Gerudo? :(",0
"596","queria :( https://t.co/VugNuJ5n05",0
"597","eles tavam presos num vidro tentando sair :(",0
"598","@aymemills Fala cmg :(",0
"599","esse twitch tiinha q ser na passada paai :(",0
"600","@artminaj que fofo :(",0
"601","De acordo com a OMS, pelo menos 1% da população MUNDIAL sofre com transtornos alimentares. 90% são mulheres. :( https://t.co/KB9Cqzu8XT",0
"602","@rossettamx Jaqueline :(",0
"603","Nunca fiz toto em nenhum lugar a não ser na minha casa, meu cu tá estranhando :(",0
"604","Joaquim quadra paçoca, areia movediça no frio :(",0
"605","@fumarmarkonha NOSSA MAAY :( para com isso, eu to mal de verdade",0
"606","@mariaa_ritaaa6 É tudo a mesma merda xD para de gozar comigo :(",0
"607","@nathanalves20 @momentsbrasil @REDCanids droga :(",0
"608","tristezinha até demais :( https://t.co/2b4kg0vHej",0
"609","@lovelylaraaa Também queria que tu estivesse aqui :(",0
"610","Triste pq minha amiga n me dá atenção :(",0
"611","Qual nome do seu canal ? — Não tenho :( https://t.co/EwsLoWUV0B",0
"612","poxa, perderam :(",0
"613","Yodeus ta com olho vermelho de quem chorou :(",0
"614","Bia nem quis me responder :(",0
"615","MEU DEUS :( https://t.co/Xs91EVMvXE",0
"616","@oquedizerlarry @larriehflowers_ Pelo amor de Harry &amp; Louis e Liam &amp; Zayn please me indica :(",0
"617","queria encher o rostinho de beijo :( https://t.co/EN0THyTQtH",0
"618","Queria katarina :( #MSI2017",0
"619","@_titool Nossa, pq vc eh grosso cmg :(",0
"620","mais uma noite triste,só que dessa vez sem minha irma :(",0
"621","@Socratianus tipo eu tentando interagir com o koala corp :-(",0
"622","Nunca :( https://t.co/U8aPZ2mcgh",0
"623","Algumas :( https://t.co/zjUeZysvWX",0
"624","@MasQueMelo @csofiar a carla nao gosta das minhas musicas :(",0
"625","um corpo desses bicho, eh o anjo mais lindo do mundo :( https://t.co/CZGWBxWnRZ",0
"626","eu te amo tanto que dói :-( https://t.co/7jwYyZcWWv",0
"627","@gilmorevibes eu vejo foto deles juntos e fico :(",0
"628","Eu tô chorando man....descupa.....♡
É q recebi uma mensagem dizendo q meu amor por ele n é nada :(

ELE É TUDO pra mim como vcs n percebem",0
"629","@nosfatizuiu ah anjo :(",0
"630","@AlbertoFrancoX @filipatavarespt @SaraStorm_ tens de admitir q teve piada :(",0
"631","se fracassar igual meu curiouscat e  ngm se interessar vou ter que sair de casa :(",0
"632","o brtt triste &gt;:(",0
"633","BEM TRISTE :(  #MSI2017",0
"634","@RobinWoding só implicas comigo :(",0
"635","@caju_sz Porra caju que maldade esse tweet :(",0
"636","@brocoliSte acho q n é pq ja tive um zilhao de infeccao urinaria mas nunca ficou desse jeito :(",0
"637","@lmjscocaine Eu tbm :(",0
"638","já disse que faço só merda? pqp :-(",0
"639","era pra eu estar voltando de jaguarao hoje mas minha prof nao quis levar o grupo pra competir :(",0
"640","ain meu deus :( https://t.co/DNQYLLWsHb",0
"641","ô meu deusi :( https://t.co/oc3Q0Imerh",0
"642","@SPFC_Metal Ahhh :( pega em torrent eu acho que já tá disponível",0
"643","Queria uma boy ai :(",0
"644","Coitadinhos... Vamos dar rosas brancas para eles, assim eles param de assaltar. Nós que somos os culpados. :( https://t.co/yromUYxDoj",0
"645","@baepseaz claramente eu :( eu me sinto tão mal ;(",0
